ticket_id,subject,description,ticket_text,category,priority
160,Urgent: Credit card charged twice for annual subscription,"Our company credit card was charged $1,200 twice on September 15th for the annual enterprise license. Please reverse the duplicate transaction. Several other team members in our department are facing the exact same problem.","Urgent: Credit card charged twice for annual subscription. Our company credit card was charged $1,200 twice on September 15th for the annual enterprise license. Please reverse the duplicate transaction. Several other team members in our department are facing the exact same problem.",Payment,High
161,Subscription renewal failed due to expired corporate card,Received notification that our monthly SaaS subscription failed to renew because card ending in 4012 is expired. Need to update payment method.,Subscription renewal failed due to expired corporate card. Received notification that our monthly SaaS subscription failed to renew because card ending in 4012 is expired. Need to update payment method.,Payment,High
162,Unauthorized login attempt detected from foreign IP - Request assistance,Received security alert email indicating a successful login attempt from an unknown device in Romania. Need immediate password reset and session purge. Urgent assistance required as this is blocking our production workflow.,Unauthorized login attempt detected from foreign IP - Request assistance. Received security alert email indicating a successful login attempt from an unknown device in Romania. Need immediate password reset and session purge. Urgent assistance required as this is blocking our production workflow.,Account,Critical
163,Office WiFi connected but no internet access - Request assistance,"Laptops on the 4th floor connect to 'Corp-Secure-WiFi' with strong signal, but browser displays 'No Internet Access, DNS server not responding'.","Office WiFi connected but no internet access - Request assistance. Laptops on the 4th floor connect to 'Corp-Secure-WiFi' with strong signal, but browser displays 'No Internet Access, DNS server not responding'.",Network,High
164,Help needed: VPN client software fails to initialize virtual adapter,"GlobalProtect / OpenVPN agent displays 'Failed to create virtual network adapter' during startup sequence. Reinstalling network drivers did not help. We noticed this error intermittently over the past week, but now it occurs constantly.","Help needed: VPN client software fails to initialize virtual adapter. GlobalProtect / OpenVPN agent displays 'Failed to create virtual network adapter' during startup sequence. Reinstalling network drivers did not help. We noticed this error intermittently over the past week, but now it occurs constantly.",Software,High
165,Antivirus blocking legitimate internal tool - Request assistance,Windows Defender / CrowdStrike flagged our internal deployment script as Trojan:Win32/Wacatac and quarantined the binary file. Tested across multiple workstations and the behavior is completely reproducible.,Antivirus blocking legitimate internal tool - Request assistance. Windows Defender / CrowdStrike flagged our internal deployment script as Trojan:Win32/Wacatac and quarantined the binary file. Tested across multiple workstations and the behavior is completely reproducible.,Software,High
166,[Issue] Proxy server authentication pop-up loop,"Browser continuously prompts for proxy credentials every time a new website is navigated, rejecting valid domain credentials.","[Issue] Proxy server authentication pop-up loop. Browser continuously prompts for proxy credentials every time a new website is navigated, rejecting valid domain credentials.",Network,Medium
167,Bank wire transfer payment not reflected in account balance,"Wire transfer of $5,000 sent on Thursday with reference WT-4481. Account still shows overdue status and service suspension warning. Urgent assistance required as this is blocking our production workflow.","Bank wire transfer payment not reflected in account balance. Wire transfer of $5,000 sent on Thursday with reference WT-4481. Account still shows overdue status and service suspension warning. Urgent assistance required as this is blocking our production workflow.",Payment,Critical
168,Urgent: External monitor not detected via HDMI,"Connected an LG 27-inch monitor to my workstation using HDMI cable. Display settings show 'No Signal detected'. Tried another cable but issue persists. We have already attempted rebooting the system, but the problem persists.","Urgent: External monitor not detected via HDMI. Connected an LG 27-inch monitor to my workstation using HDMI cable. Display settings show 'No Signal detected'. Tried another cable but issue persists. We have already attempted rebooting the system, but the problem persists.",Hardware,Medium
169,Help needed: Automated nightly backup script exited with error code 1,Scheduled mysqldump backup job failed at 02:00 AM due to disk space shortage on mount /var/backups. Backup archive is incomplete. This is severely impacting our daily operations and client deliverable deadlines.,Help needed: Automated nightly backup script exited with error code 1. Scheduled mysqldump backup job failed at 02:00 AM due to disk space shortage on mount /var/backups. Backup archive is incomplete. This is severely impacting our daily operations and client deliverable deadlines.,Technical Issue,Critical
170,[Issue] User account locked out after failed password attempts,Entered incorrect password on Monday morning and now my domain account is locked out. Need admin to unlock in Active Directory so I can login.,[Issue] User account locked out after failed password attempts. Entered incorrect password on Monday morning and now my domain account is locked out. Need admin to unlock in Active Directory so I can login.,Account,High
171,Unexpected price increase on monthly statement,Our monthly subscription billed at $450 instead of our contracted rate of $350. Please review pricing tier agreement and adjust the balance. This issue started occurring after the system maintenance yesterday.,Unexpected price increase on monthly statement. Our monthly subscription billed at $450 instead of our contracted rate of $350. Please review pricing tier agreement and adjust the balance. This issue started occurring after the system maintenance yesterday.,Payment,Medium
172,Urgent: Hard drive clicking noise and I/O error,Secondary internal 1TB Seagate drive is producing rhythmic clicking noises. Windows Explorer freezes and throws 'The request failed due to a fatal device hardware error'. Logs and system diagnostic details have been captured and can be provided upon request.,Urgent: Hard drive clicking noise and I/O error. Secondary internal 1TB Seagate drive is producing rhythmic clicking noises. Windows Explorer freezes and throws 'The request failed due to a fatal device hardware error'. Logs and system diagnostic details have been captured and can be provided upon request.,Hardware,High
173,[Issue] Requesting official VAT invoice for tax filing,Need an itemized PDF tax invoice containing our European VAT registration number (DE123456789) for our August subscription payment. Several other team members in our department are facing the exact same problem.,[Issue] Requesting official VAT invoice for tax filing. Need an itemized PDF tax invoice containing our European VAT registration number (DE123456789) for our August subscription payment. Several other team members in our department are facing the exact same problem.,Payment,Low
174,Database deadlock detected in transaction execution,Deadlock found when trying to get lock on table Ticket_Comments during concurrent status update. Transaction was aborted by database engine. Tested across multiple workstations and the behavior is completely reproducible.,Database deadlock detected in transaction execution. Deadlock found when trying to get lock on table Ticket_Comments during concurrent status update. Transaction was aborted by database engine. Tested across multiple workstations and the behavior is completely reproducible.,Technical Issue,High
175,[Issue] Wireless mouse cursor jumping erratically,The Logitech wireless mouse cursor stutters across the screen and skips pixels even with fresh AA batteries. Mousepad is clean. Tested across multiple workstations and the behavior is completely reproducible.,[Issue] Wireless mouse cursor jumping erratically. The Logitech wireless mouse cursor stutters across the screen and skips pixels even with fresh AA batteries. Mousepad is clean. Tested across multiple workstations and the behavior is completely reproducible.,Hardware,Low
176,Data export CSV corrupted with incomplete rows - Request assistance,"Exporting historical ticket reports with >10,000 rows generates truncated CSV file stopping midway at row 3,420 with trailing commas. This issue started occurring after the system maintenance yesterday.","Data export CSV corrupted with incomplete rows - Request assistance. Exporting historical ticket reports with >10,000 rows generates truncated CSV file stopping midway at row 3,420 with trailing commas. This issue started occurring after the system maintenance yesterday.",Technical Issue,Medium
177,API rate limiting triggered incorrectly on internal services - Request assistance,Internal microservice is receiving HTTP 429 Too Many Requests when communicating with the auth service on the local network. Logs and system diagnostic details have been captured and can be provided upon request.,API rate limiting triggered incorrectly on internal services - Request assistance. Internal microservice is receiving HTTP 429 Too Many Requests when communicating with the auth service on the local network. Logs and system diagnostic details have been captured and can be provided upon request.,Technical Issue,High
178,Urgent: External monitor not detected via HDMI,"Connected an LG 27-inch monitor to my workstation using HDMI cable. Display settings show 'No Signal detected'. Tried another cable but issue persists. We have already attempted rebooting the system, but the problem persists.","Urgent: External monitor not detected via HDMI. Connected an LG 27-inch monitor to my workstation using HDMI cable. Display settings show 'No Signal detected'. Tried another cable but issue persists. We have already attempted rebooting the system, but the problem persists.",Hardware,Medium
179,Urgent: Prorated refund request after seat reduction,We downgraded our team plan from 50 seats to 25 seats at the beginning of the billing cycle. Requesting prorated credit or refund for unused seats. Please advise on immediate troubleshooting steps or dispatch a technician.,Urgent: Prorated refund request after seat reduction. We downgraded our team plan from 50 seats to 25 seats at the beginning of the billing cycle. Requesting prorated credit or refund for unused seats. Please advise on immediate troubleshooting steps or dispatch a technician.,Payment,Medium
180,Urgent: New employee onboarding credentials not received,New software engineer starts today but has not received their initial login credentials or temporary password for company email. Please advise on immediate troubleshooting steps or dispatch a technician.,Urgent: New employee onboarding credentials not received. New software engineer starts today but has not received their initial login credentials or temporary password for company email. Please advise on immediate troubleshooting steps or dispatch a technician.,Account,High
181,Help needed: Database query connection timeout during peak hours,Database connection pool exhausted on master MySQL cluster. Client applications receive 'OperationalError 2006: MySQL server has gone away'. This issue started occurring after the system maintenance yesterday.,Help needed: Database query connection timeout during peak hours. Database connection pool exhausted on master MySQL cluster. Client applications receive 'OperationalError 2006: MySQL server has gone away'. This issue started occurring after the system maintenance yesterday.,Technical Issue,Critical
182,Urgent: File compression utility producing corrupted archives,"7-Zip creates archives that fail CRC checksum validation when extracted on recipient workstations. Error: 'Data error in encrypted file'. We noticed this error intermittently over the past week, but now it occurs constantly.","Urgent: File compression utility producing corrupted archives. 7-Zip creates archives that fail CRC checksum validation when extracted on recipient workstations. Error: 'Data error in encrypted file'. We noticed this error intermittently over the past week, but now it occurs constantly.",Software,Low
183,[Issue] Intermittent WebSocket connection drops in dashboard,"Real-time updates in admin portal disconnect with code 1006 every few minutes, requiring manual page refresh to see new tickets.","[Issue] Intermittent WebSocket connection drops in dashboard. Real-time updates in admin portal disconnect with code 1006 every few minutes, requiring manual page refresh to see new tickets.",Technical Issue,Medium
184,[Issue] Remove access for departing employee immediately,"Employee has resigned effective immediately today. Please disable AD account, revoke OAuth tokens, and forward emails to manager. We have already attempted rebooting the system, but the problem persists.","[Issue] Remove access for departing employee immediately. Employee has resigned effective immediately today. Please disable AD account, revoke OAuth tokens, and forward emails to manager. We have already attempted rebooting the system, but the problem persists.",Account,Critical
185,[Issue] Google Chrome memory leak consuming 14GB RAM,"Chrome browser consumes all available system RAM after 3 hours of usage with only 6 tabs open, slowing the entire operating system to a crawl. Tested across multiple workstations and the behavior is completely reproducible.","[Issue] Google Chrome memory leak consuming 14GB RAM. Chrome browser consumes all available system RAM after 3 hours of usage with only 6 tabs open, slowing the entire operating system to a crawl. Tested across multiple workstations and the behavior is completely reproducible.",Software,Medium
186,Guest contractor account extension required,Contractor engagement for vendor QA has been extended by 30 days. Need their account expiration date extended in Active Directory. Please advise on immediate troubleshooting steps or dispatch a technician.,Guest contractor account extension required. Contractor engagement for vendor QA has been extended by 30 days. Need their account expiration date extended in Active Directory. Please advise on immediate troubleshooting steps or dispatch a technician.,Account,Medium
187,[Issue] Search query elasticsearch index synchronization lag,"Newly created tickets do not appear in search results for up to 45 minutes. Full-text search indexer seems to be lagging behind database binlog. We noticed this error intermittently over the past week, but now it occurs constantly.","[Issue] Search query elasticsearch index synchronization lag. Newly created tickets do not appear in search results for up to 45 minutes. Full-text search indexer seems to be lagging behind database binlog. We noticed this error intermittently over the past week, but now it occurs constantly.",Technical Issue,Medium
188,[Issue] Webcam hardware disconnected error,"Built-in laptop webcam gives error 0xA00F4244 NoCamerasAreAttached in Windows Camera app. Driver is missing in Device Manager. We noticed this error intermittently over the past week, but now it occurs constantly.","[Issue] Webcam hardware disconnected error. Built-in laptop webcam gives error 0xA00F4244 NoCamerasAreAttached in Windows Camera app. Driver is missing in Device Manager. We noticed this error intermittently over the past week, but now it occurs constantly.",Hardware,Medium
189,Firewall blocking outbound port 443 to cloud storage - Request assistance,Requests to AWS S3 buckets and GitHub are timing out from our subnet. Security policy appears to be dropping outbound TCP traffic on port 443. Logs and system diagnostic details have been captured and can be provided upon request.,Firewall blocking outbound port 443 to cloud storage - Request assistance. Requests to AWS S3 buckets and GitHub are timing out from our subnet. Security policy appears to be dropping outbound TCP traffic on port 443. Logs and system diagnostic details have been captured and can be provided upon request.,Network,Critical
190,[Issue] Corporate VPN disconnecting every 10 minutes,"Connected to the office VPN through Cisco AnyConnect, but the tunnel drops intermittently every 10 to 15 minutes with error: 'Connection terminated locally'. Several other team members in our department are facing the exact same problem.","[Issue] Corporate VPN disconnecting every 10 minutes. Connected to the office VPN through Cisco AnyConnect, but the tunnel drops intermittently every 10 to 15 minutes with error: 'Connection terminated locally'. Several other team members in our department are facing the exact same problem.",Network,High
191,Corporate VPN disconnecting every 10 minutes - Request assistance,"Connected to the office VPN through Cisco AnyConnect, but the tunnel drops intermittently every 10 to 15 minutes with error: 'Connection terminated locally'. This is severely impacting our daily operations and client deliverable deadlines.","Corporate VPN disconnecting every 10 minutes - Request assistance. Connected to the office VPN through Cisco AnyConnect, but the tunnel drops intermittently every 10 to 15 minutes with error: 'Connection terminated locally'. This is severely impacting our daily operations and client deliverable deadlines.",Network,High
192,Urgent: Excel crashes when opening large pivot table,"Microsoft Excel 365 freezes and abruptly crashes whenever I open our quarterly sales workbook containing 80,000 rows. Event Viewer logs faulting module ntdll.dll.","Urgent: Excel crashes when opening large pivot table. Microsoft Excel 365 freezes and abruptly crashes whenever I open our quarterly sales workbook containing 80,000 rows. Event Viewer logs faulting module ntdll.dll.",Software,High
193,RAM memory failure causing BSOD,Computer crashed three times today with MEMORY_MANAGEMENT blue screen. Windows Memory Diagnostic tool reported hardware memory problems detected. This issue started occurring after the system maintenance yesterday.,RAM memory failure causing BSOD. Computer crashed three times today with MEMORY_MANAGEMENT blue screen. Windows Memory Diagnostic tool reported hardware memory problems detected. This issue started occurring after the system maintenance yesterday.,Hardware,High
194,Urgent: Power supply unit burning smell,Desktop PC suddenly lost power and emitted a faint electrical burning odor. System refuses to turn on when power button is pressed. No motherboard LEDs lit. Several other team members in our department are facing the exact same problem.,Urgent: Power supply unit burning smell. Desktop PC suddenly lost power and emitted a faint electrical burning odor. System refuses to turn on when power button is pressed. No motherboard LEDs lit. Several other team members in our department are facing the exact same problem.,Hardware,Critical
195,Laser printer paper jam in tray 2 - Request assistance,"The HP LaserJet printer on the 3rd floor has a continuous paper jam error. Opened tray 2 and cleared paper, but roller error indicator remains red. We noticed this error intermittently over the past week, but now it occurs constantly.","Laser printer paper jam in tray 2 - Request assistance. The HP LaserJet printer on the 3rd floor has a continuous paper jam error. Opened tray 2 and cleared paper, but roller error indicator remains red. We noticed this error intermittently over the past week, but now it occurs constantly.",Hardware,Medium
196,Office WiFi connected but no internet access,"Laptops on the 4th floor connect to 'Corp-Secure-WiFi' with strong signal, but browser displays 'No Internet Access, DNS server not responding'. Several other team members in our department are facing the exact same problem.","Office WiFi connected but no internet access. Laptops on the 4th floor connect to 'Corp-Secure-WiFi' with strong signal, but browser displays 'No Internet Access, DNS server not responding'. Several other team members in our department are facing the exact same problem.",Network,High
197,Urgent: Software license activation key invalid,"Reinstalled AutoCAD on my new machine, but the company serial number produces error 'Registration-Activation Error (0015.111)'. Need license reactivation. Urgent assistance required as this is blocking our production workflow.","Urgent: Software license activation key invalid. Reinstalled AutoCAD on my new machine, but the company serial number produces error 'Registration-Activation Error (0015.111)'. Need license reactivation. Urgent assistance required as this is blocking our production workflow.",Software,High
198,[Issue] Office WiFi connected but no internet access,"Laptops on the 4th floor connect to 'Corp-Secure-WiFi' with strong signal, but browser displays 'No Internet Access, DNS server not responding'. We noticed this error intermittently over the past week, but now it occurs constantly.","[Issue] Office WiFi connected but no internet access. Laptops on the 4th floor connect to 'Corp-Secure-WiFi' with strong signal, but browser displays 'No Internet Access, DNS server not responding'. We noticed this error intermittently over the past week, but now it occurs constantly.",Network,High
199,Help needed: Office WiFi connected but no internet access,"Laptops on the 4th floor connect to 'Corp-Secure-WiFi' with strong signal, but browser displays 'No Internet Access, DNS server not responding'. This issue started occurring after the system maintenance yesterday.","Help needed: Office WiFi connected but no internet access. Laptops on the 4th floor connect to 'Corp-Secure-WiFi' with strong signal, but browser displays 'No Internet Access, DNS server not responding'. This issue started occurring after the system maintenance yesterday.",Network,High
200,Corporate VPN disconnecting every 10 minutes - Request assistance,"Connected to the office VPN through Cisco AnyConnect, but the tunnel drops intermittently every 10 to 15 minutes with error: 'Connection terminated locally'. This is severely impacting our daily operations and client deliverable deadlines.","Corporate VPN disconnecting every 10 minutes - Request assistance. Connected to the office VPN through Cisco AnyConnect, but the tunnel drops intermittently every 10 to 15 minutes with error: 'Connection terminated locally'. This is severely impacting our daily operations and client deliverable deadlines.",Network,High
201,[Issue] Subscription renewal failed due to expired corporate card,Received notification that our monthly SaaS subscription failed to renew because card ending in 4012 is expired. Need to update payment method. This is severely impacting our daily operations and client deliverable deadlines.,[Issue] Subscription renewal failed due to expired corporate card. Received notification that our monthly SaaS subscription failed to renew because card ending in 4012 is expired. Need to update payment method. This is severely impacting our daily operations and client deliverable deadlines.,Payment,High
202,Help needed: Unexpected price increase on monthly statement,Our monthly subscription billed at $450 instead of our contracted rate of $350. Please review pricing tier agreement and adjust the balance. Please advise on immediate troubleshooting steps or dispatch a technician.,Help needed: Unexpected price increase on monthly statement. Our monthly subscription billed at $450 instead of our contracted rate of $350. Please review pricing tier agreement and adjust the balance. Please advise on immediate troubleshooting steps or dispatch a technician.,Payment,Medium
203,Help needed: Excel crashes when opening large pivot table,"Microsoft Excel 365 freezes and abruptly crashes whenever I open our quarterly sales workbook containing 80,000 rows. Event Viewer logs faulting module ntdll.dll. This is severely impacting our daily operations and client deliverable deadlines.","Help needed: Excel crashes when opening large pivot table. Microsoft Excel 365 freezes and abruptly crashes whenever I open our quarterly sales workbook containing 80,000 rows. Event Viewer logs faulting module ntdll.dll. This is severely impacting our daily operations and client deliverable deadlines.",Software,High
204,[Issue] Zoom meeting video freezes after 5 minutes,"During video calls Zoom client freezes video feed while audio continues. Graphic driver is up to date, but hardware acceleration setting crashes app. This issue started occurring after the system maintenance yesterday.","[Issue] Zoom meeting video freezes after 5 minutes. During video calls Zoom client freezes video feed while audio continues. Graphic driver is up to date, but hardware acceleration setting crashes app. This issue started occurring after the system maintenance yesterday.",Software,Medium
205,[Issue] Session timeout too aggressive kicking out every 5 minutes,"Web portal logs me out every 5 minutes with 'Session Expired', forcing constant MFA re-authentication while working. Urgent assistance required as this is blocking our production workflow.","[Issue] Session timeout too aggressive kicking out every 5 minutes. Web portal logs me out every 5 minutes with 'Session Expired', forcing constant MFA re-authentication while working. Urgent assistance required as this is blocking our production workflow.",Account,High
206,Help needed: Credit card charged twice for annual subscription,"Our company credit card was charged $1,200 twice on September 15th for the annual enterprise license. Please reverse the duplicate transaction. Urgent assistance required as this is blocking our production workflow.","Help needed: Credit card charged twice for annual subscription. Our company credit card was charged $1,200 twice on September 15th for the annual enterprise license. Please reverse the duplicate transaction. Urgent assistance required as this is blocking our production workflow.",Payment,High
207,Laptop battery swelling and trackpad lifting,Noticeable bulge beneath the trackpad on my ThinkPad. The touchpad is physically displaced. Battery is dangerously swollen and won't hold charge. This is severely impacting our daily operations and client deliverable deadlines.,Laptop battery swelling and trackpad lifting. Noticeable bulge beneath the trackpad on my ThinkPad. The touchpad is physically displaced. Battery is dangerously swollen and won't hold charge. This is severely impacting our daily operations and client deliverable deadlines.,Hardware,Critical
208,Help needed: Webhook delivery failing with HTTP 404 response,Webhook notifications for event 'ticket.resolved' fail with status 404 to our endpoint https://crm.company.com/webhook. Headers show missing HMAC signature. Tested across multiple workstations and the behavior is completely reproducible.,Help needed: Webhook delivery failing with HTTP 404 response. Webhook notifications for event 'ticket.resolved' fail with status 404 to our endpoint https://crm.company.com/webhook. Headers show missing HMAC signature. Tested across multiple workstations and the behavior is completely reproducible.,Technical Issue,High
209,External monitor not detected via HDMI,"Connected an LG 27-inch monitor to my workstation using HDMI cable. Display settings show 'No Signal detected'. Tried another cable but issue persists. We noticed this error intermittently over the past week, but now it occurs constantly.","External monitor not detected via HDMI. Connected an LG 27-inch monitor to my workstation using HDMI cable. Display settings show 'No Signal detected'. Tried another cable but issue persists. We noticed this error intermittently over the past week, but now it occurs constantly.",Hardware,Medium
210,[Issue] Remove access for departing employee immediately,"Employee has resigned effective immediately today. Please disable AD account, revoke OAuth tokens, and forward emails to manager. Logs and system diagnostic details have been captured and can be provided upon request.","[Issue] Remove access for departing employee immediately. Employee has resigned effective immediately today. Please disable AD account, revoke OAuth tokens, and forward emails to manager. Logs and system diagnostic details have been captured and can be provided upon request.",Account,Critical
211,Help needed: Cannot update security challenge questions,Account settings page throws error 500 when saving new security verification questions for password self-recovery. Logs and system diagnostic details have been captured and can be provided upon request.,Help needed: Cannot update security challenge questions. Account settings page throws error 500 when saving new security verification questions for password self-recovery. Logs and system diagnostic details have been captured and can be provided upon request.,Account,Low
212,Adobe Acrobat Reader crashing on PDF sign,"Whenever I attempt to place a digital certificate signature on contract documents, Adobe Acrobat DC closes immediately without an error message. This issue started occurring after the system maintenance yesterday.","Adobe Acrobat Reader crashing on PDF sign. Whenever I attempt to place a digital certificate signature on contract documents, Adobe Acrobat DC closes immediately without an error message. This issue started occurring after the system maintenance yesterday.",Software,High
213,[Issue] Subscription auto-renewed after cancellation notice,"Submitted cancellation request 10 days before renewal date, but our credit card was still charged $299 this morning. Requesting full cancellation and refund. This issue started occurring after the system maintenance yesterday.","[Issue] Subscription auto-renewed after cancellation notice. Submitted cancellation request 10 days before renewal date, but our credit card was still charged $299 this morning. Requesting full cancellation and refund. This issue started occurring after the system maintenance yesterday.",Payment,High
214,Intermittent WebSocket connection drops in dashboard - Request assistance,"Real-time updates in admin portal disconnect with code 1006 every few minutes, requiring manual page refresh to see new tickets. This issue started occurring after the system maintenance yesterday.","Intermittent WebSocket connection drops in dashboard - Request assistance. Real-time updates in admin portal disconnect with code 1006 every few minutes, requiring manual page refresh to see new tickets. This issue started occurring after the system maintenance yesterday.",Technical Issue,Medium
215,Urgent: Google Chrome memory leak consuming 14GB RAM,"Chrome browser consumes all available system RAM after 3 hours of usage with only 6 tabs open, slowing the entire operating system to a crawl. Several other team members in our department are facing the exact same problem.","Urgent: Google Chrome memory leak consuming 14GB RAM. Chrome browser consumes all available system RAM after 3 hours of usage with only 6 tabs open, slowing the entire operating system to a crawl. Several other team members in our department are facing the exact same problem.",Software,Medium
216,Help needed: File compression utility producing corrupted archives,7-Zip creates archives that fail CRC checksum validation when extracted on recipient workstations. Error: 'Data error in encrypted file'. Please advise on immediate troubleshooting steps or dispatch a technician.,Help needed: File compression utility producing corrupted archives. 7-Zip creates archives that fail CRC checksum validation when extracted on recipient workstations. Error: 'Data error in encrypted file'. Please advise on immediate troubleshooting steps or dispatch a technician.,Software,Low
217,Need annual prepayment invoice for bulk discount - Request assistance,We would like to switch from monthly billing to annual prepayment to take advantage of the 20% discount. Please generate the invoice. Please advise on immediate troubleshooting steps or dispatch a technician.,Need annual prepayment invoice for bulk discount - Request assistance. We would like to switch from monthly billing to annual prepayment to take advantage of the 20% discount. Please generate the invoice. Please advise on immediate troubleshooting steps or dispatch a technician.,Payment,Medium
218,Requesting W-9 vendor tax form for accounts payable - Request assistance,Our accounting department requires a signed W-9 form and bank ACH direct deposit details before processing the outstanding purchase order. Tested across multiple workstations and the behavior is completely reproducible.,Requesting W-9 vendor tax form for accounts payable - Request assistance. Our accounting department requires a signed W-9 form and bank ACH direct deposit details before processing the outstanding purchase order. Tested across multiple workstations and the behavior is completely reproducible.,Payment,Low
219,Urgent: Memory consumption on API container growing continuously,"Docker container memory usage rises from 200MB to 3.8GB over 48 hours without releasing, indicating a memory leak in the connection pool. Several other team members in our department are facing the exact same problem.","Urgent: Memory consumption on API container growing continuously. Docker container memory usage rises from 200MB to 3.8GB over 48 hours without releasing, indicating a memory leak in the connection pool. Several other team members in our department are facing the exact same problem.",Technical Issue,High
220,[Issue] Payment receipt not emailed after successful transaction,Credit card was successfully charged yesterday but confirmation receipt and license key were not delivered to billing@company.com. This issue started occurring after the system maintenance yesterday.,[Issue] Payment receipt not emailed after successful transaction. Credit card was successfully charged yesterday but confirmation receipt and license key were not delivered to billing@company.com. This issue started occurring after the system maintenance yesterday.,Payment,Low
221,Help needed: VoIP desk phone unregistered from PBX,"Cisco IP phone on desk 14 shows 'Registration Failed'. No dial tone and cannot receive incoming transfers from receptionist. We have already attempted rebooting the system, but the problem persists.","Help needed: VoIP desk phone unregistered from PBX. Cisco IP phone on desk 14 shows 'Registration Failed'. No dial tone and cannot receive incoming transfers from receptionist. We have already attempted rebooting the system, but the problem persists.",Network,Medium
222,[Issue] Subscription renewal failed due to expired corporate card,Received notification that our monthly SaaS subscription failed to renew because card ending in 4012 is expired. Need to update payment method. Please advise on immediate troubleshooting steps or dispatch a technician.,[Issue] Subscription renewal failed due to expired corporate card. Received notification that our monthly SaaS subscription failed to renew because card ending in 4012 is expired. Need to update payment method. Please advise on immediate troubleshooting steps or dispatch a technician.,Payment,High
223,[Issue] Frequent dropped calls on Microsoft Teams,"Teams voice and video calls consistently stutter and disconnect with warning 'Your network is causing poor call quality'. We have already attempted rebooting the system, but the problem persists.","[Issue] Frequent dropped calls on Microsoft Teams. Teams voice and video calls consistently stutter and disconnect with warning 'Your network is causing poor call quality'. We have already attempted rebooting the system, but the problem persists.",Network,Medium
224,Help needed: REST API returning HTTP 500 Internal Server Error,Calls to endpoint /api/v2/orders/batch are consistently failing with HTTP 500 Internal Server Error. Response payload contains uncaught NullPointerException. This is severely impacting our daily operations and client deliverable deadlines.,Help needed: REST API returning HTTP 500 Internal Server Error. Calls to endpoint /api/v2/orders/batch are consistently failing with HTTP 500 Internal Server Error. Response payload contains uncaught NullPointerException. This is severely impacting our daily operations and client deliverable deadlines.,Technical Issue,Critical
225,Webcam hardware disconnected error - Request assistance,Built-in laptop webcam gives error 0xA00F4244 NoCamerasAreAttached in Windows Camera app. Driver is missing in Device Manager. Logs and system diagnostic details have been captured and can be provided upon request.,Webcam hardware disconnected error - Request assistance. Built-in laptop webcam gives error 0xA00F4244 NoCamerasAreAttached in Windows Camera app. Driver is missing in Device Manager. Logs and system diagnostic details have been captured and can be provided upon request.,Hardware,Medium
226,Help needed: SSL certificate error visiting company intranet,Web browsers display NET::ERR_CERT_COMMON_NAME_INVALID when accessing internal wiki. Certificate appears expired as of yesterday. Please advise on immediate troubleshooting steps or dispatch a technician.,Help needed: SSL certificate error visiting company intranet. Web browsers display NET::ERR_CERT_COMMON_NAME_INVALID when accessing internal wiki. Certificate appears expired as of yesterday. Please advise on immediate troubleshooting steps or dispatch a technician.,Network,High
227,[Issue] Need annual prepayment invoice for bulk discount,We would like to switch from monthly billing to annual prepayment to take advantage of the 20% discount. Please generate the invoice. Logs and system diagnostic details have been captured and can be provided upon request.,[Issue] Need annual prepayment invoice for bulk discount. We would like to switch from monthly billing to annual prepayment to take advantage of the 20% discount. Please generate the invoice. Logs and system diagnostic details have been captured and can be provided upon request.,Payment,Medium
228,Unauthorized login attempt detected from foreign IP - Request assistance,Received security alert email indicating a successful login attempt from an unknown device in Romania. Need immediate password reset and session purge. This issue started occurring after the system maintenance yesterday.,Unauthorized login attempt detected from foreign IP - Request assistance. Received security alert email indicating a successful login attempt from an unknown device in Romania. Need immediate password reset and session purge. This issue started occurring after the system maintenance yesterday.,Account,Critical
229,Urgent: Text editor formatting tool breaks indentation,"VS Code auto-formatter replaces tabs with corrupted null characters in YAML configuration files, preventing deployment pipelines from running. This issue started occurring after the system maintenance yesterday.","Urgent: Text editor formatting tool breaks indentation. VS Code auto-formatter replaces tabs with corrupted null characters in YAML configuration files, preventing deployment pipelines from running. This issue started occurring after the system maintenance yesterday.",Software,Low
230,Urgent: Update official primary email address and alias,My last name has legally changed. Please update my primary email address in Google Workspace / Exchange and create an alias for my previous name. Several other team members in our department are facing the exact same problem.,Urgent: Update official primary email address and alias. My last name has legally changed. Please update my primary email address in Google Workspace / Exchange and create an alias for my previous name. Several other team members in our department are facing the exact same problem.,Account,Low
231,Help needed: Cannot update security challenge questions,Account settings page throws error 500 when saving new security verification questions for password self-recovery. This issue started occurring after the system maintenance yesterday.,Help needed: Cannot update security challenge questions. Account settings page throws error 500 when saving new security verification questions for password self-recovery. This issue started occurring after the system maintenance yesterday.,Account,Low
232,Workstation overheating and shutting down - Request assistance,My desktop PC fans are spinning at maximum RPM and making loud grinding noises. System shut down abruptly twice during rendering with CPU temp at 95C. Please advise on immediate troubleshooting steps or dispatch a technician.,Workstation overheating and shutting down - Request assistance. My desktop PC fans are spinning at maximum RPM and making loud grinding noises. System shut down abruptly twice during rendering with CPU temp at 95C. Please advise on immediate troubleshooting steps or dispatch a technician.,Hardware,Critical
